Virus Family,Virus Genus,Virus Species,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Notes,Key reference,Ratified by ICTV
Hepeviridae,Orthohepevirus,Sparrow hepatitis E virus,N,Y,N,N,,Yang_2018_ArchVirol,N
Herpesviridae,Alphaherpesvirus,Maerks Disease Virus,Y,Y,Y,Y,,Choudat_1996_OccupEviron Med,Y
Herpesviridae,Alphaherpesvirus,Oates virus ,N,Y,N,N,,Wille_2020_ISME,N
Herpesviridae,Iltovirus,Gallid alphaherpesvirus 1 (Infectious laryngotracheitis virus),Y,Y,N,Y,,Bagust_Johnson_1995_AvianPathology,Y
Herpesviridae,Iltovirus,Gaviid herpesvirus 1,N,Y,N,N,,Quesada_2011_JWD,N
Herpesviridae,Iltovirus,Passerid herpesvirus 1,Y,Y,N,Y,,Wellehan_2003_JClinVirol,N
Herpesviridae,Iltovirus,Phoenicopterid herpesvirus 1,N,Y,N,Y,,Coverfill_2016_JVetDiag,N
Herpesviridae,Iltovirus,Psittacid alphaherpesvirus 1 (Pacheco's disease),Y,Y,N,Y,,Thureen_2006_JVI,Y
Herpesviridae,Mardivirus,Anatid alphaherpesvirus 1   (Duck Virus Enteritis/Duck Plague),Y,Y,N,Y,,Dhama_2017_VeterinaryQuartary,Y
Herpesviridae,Mardivirus,Columbid alphaherpesvirus 1  (Falconid Herpesvirus 1),Y,Y,N,Y,old virus but only recently sequenced?,Spatz_2014_VirusRes,Y
Herpesviridae,Mardivirus,Gallid alphaherpesvirus 2 (Maerks Disease Virus),Y,Y,N,Y,,Osterrieder_2006_NatRevMicro,Y
Herpesviridae,Mardivirus,Gallid alphaherpesvirus 3  (Maerks Disease Virus serotype 2),Y,Y,N,Y,, Schat_1978_JNatlCancerInstu,Y
Herpesviridae,Mardivirus,Meleagrid alphaherpesvirus 1 (Turkey herpesvirus; Maerks Disease serotype 3)  ,Y,Y,N,Y,,Alfonso_2001_Jvirol,Y
Herpesviridae,Mardivirus,Phasianid herpesvirus 1   ,N,Y,N,Y,,Seimon_2012_VetPAth,N
Herpesviridae,Mardivirus,sphenicid alphaherpesvirus 1,N,Y,N,Y,,Pfaff_2017_J Gen Virol,Y
Herpesviridae,Unassigned,Cacatuid alphaherpesvirus 1   ,N,Y,N,N,,Amery-Gale_2018_PloS,N
Herpesviridae,Unassigned,Cacatuid alphaherpesvirus 2,N,Y,N,N,,Sutherland_2019_VetMicro,N
Herpesviridae,Unassigned,Common buzzard alphaherpesvirus   ,N,Y,N,N,,FJ797653,N
Herpesviridae,Unassigned,Fregata magnificens herpesvirus,N,Y,N,Y,,deThoisy_2009_JWD,N
Herpesviridae,Unassigned,Neotropic cormorant herpesvirus,N,Y,N,N,,Verdugo_2019_JWD,N
Herpesviridae,Unassigned,Penguin herpesvirus 2,N,Y,N,Y,,Neimeyer_2017_PloS,N
Herpesviridae,Unassigned,Pogarid alphaherpesvirus,N,Y,N,N,,Amery-Gale_2018_PloS,N
Herpesviridae,Unassigned,Strigid herpesvirus 1,N,Y,N,Y,,Gleeson_2019_VetOpth,N
Herpesviridae,Unassigned,Sulid herpesvirus 1,N,Y,N,Y,,Neimeyer_2017_PloS,N
Herpesviridae,Unassigned,Vulture herpesvirus,N,Y,N,Y,,Cardoso_2009_VirusGenes,N
Nairoviridae,Orthonairovirus,Crimean-Congo hemorrhagic fever virus,Y,Y,Y,N,arbovirus,Palomar_2013_EID,Y
Nairoviridae,Orthonairovirus,"Dera Ghazi Khan nairovirus (Abu Hammad virus, Abu Mina Virus, Sapphire II Virus)",Y,Y,N,N,arbovirus,Huhn_2016_Viruses,Y
Nairoviridae,Orthonairovirus,Dugbe orthnairovirus (Puffin Island Virus),Y,Y,Y,N,arbovirus,Nuttal_1984_ArchVirol,Y
Nairoviridae,Orthonairovirus,Finch Creek virus,N,Y,N,N,arbovirus,Major_2009_PloS,Y
Nairoviridae,Orthonairovirus,"Hughes orthonairovirus (Solado Virus, Farallon Virus, Sapiy Virus, Great Saltee Virus, Zirqa Virus)",Y,Y,Y,N,arbovirus,Converse_1975_AmJTropMed,Y
Nairoviridae,Orthonairovirus,"Sakhalin nairovirus (Avalon Virus, Clo Mor Virus, Sakhalin Virus, Taggert Virus, Tilamook Virus)",Y,Y,N,N,arbovirus,Huhn_2016_Viruses,Y
Nairoviridae,Orthonairovirus,Taggert Virus,Y,Y,N,N,arbovirus,Doherty_1973_AmJTropMed,Y
Nyamviridae,Nyavirus,Midway nyavirus,Y,Y,N,N,arbovirus; old virus but only recently sequenced?,Mihindukulasuriya_2009_JVI,Y
Nyamviridae,Nyavirus,Nyamanini nyavirus,Y,Y,N,N,arbovirus; old virus but only recently sequenced?,Mihindukulasuriya_2009_JVI,Y
Nyamviridae,Nyavirus,San Jacinto virus,N,Y,N,Y,,Walker_2019_Viruses,N
Orthomyxoviridae,Orthomyxovirdae,Influenza A virus,Y,Y,Y,Y,,Olsen_2006_Science,Y
Orthomyxoviridae,Quaranjavirus,Johnston Atoll virus,Y,Y,N,N,arbovirus,Presti_2009_Jvirol,Y
Orthomyxoviridae,Quaranjavirus,Quaranfil virus,Y,Y,Y,N,arbovirus,Presti_2009_Jvirol,Y
Orthomyxoviridae,Quaranjavirus,Wellfleet Bay Virus,N,Y,N,Y,,Allison_2014_JVI,N
Orthomyxoviridae,Thogotovirus,Upolu vIrus,Y,Y,N,N,arbovirus,Humphery-Smith_1991_EpidInf,N
Orthomyxoviridae,Unassigned,Mason Creek Virus,N,Y,N,Y,,Walker_2019_Viruses,N
Orthomyxovirus,Unassigned,Neko Habour Virus,N,Y,N,N,arbovirus,Petterson_2020_bioRxiv,N
Orthomyxovirus,Unassigned,Uumaja Virus,N,Y,N,N,arbovirus,Petterson_2020_bioRxiv,N
Papillomaviridae,Dyoepsilonpapillomavirus,Dyoepsilonpapillomavirus 1 (Francolinus leucoscepus papillomavirus 1  ),N,Y,N,N,,Van Doorslaer_2009_JVI,Y
Papillomaviridae,Etapapillomavirus,Chaffinch papillomavirus ,Y,Y,N,Y,,Moreon-Lopez_1984,N
Papillomaviridae,Etapapillomavirus,Etapapillomavirus 1  (Fringilla coelebs papillomavirus) ,Y,Y,N,Y,,Terai_2002_JVI,Y
Papillomaviridae,Etapapillomavirus,Griffon vulture papillomavirus   ,N,Y,N,Y,,Di Francesco_2019_ARchVirol,N
Papillomaviridae,Etapapillomavirus,Serinus canaria papillomavirus 1   ,N,Y,N,Y,,Truchado_2018_VetResComm,N
Papillomaviridae,Thetapapillomavirus,Thetapapillomavirus 1   (Psittacus erithacus timneh papillomavirus),Y,Y,N,Y,,Latimer_1997_VetClinPAth,Y
Papillomaviridae,Treisepsilonpapillomavirus,"Treisepsilonpapillomavirus 1 (Pygoscelis adeliae papillomavirus 1, )",N,Y,N,N,,Varsani_2014_J Gen Virol; Van Doorslaer_2017_Virus Evol,Y
Papillomaviridae,Treisepsilonpapillomavirus,Treisepsilonpapillomavirus 1 (Pygoscelis adeliae papillomavirus 2),N,Y,N,N,,Van Doorsler_2017_VirusEvol,Y
