Virus Family,Virus Genus,Virus Species,Host,Detected 2008? (Y/N),Detected 2020 (Y),Recorded zoonosis event (Y/N),Does it cause disease in host (Y/N),Ratified by ICTV,Notes,Refs?
Picornaviridae,Unassigned,Fleece virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Picornaviridae,Unassigned,Gabriel virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Picornaviridae,Unassigned,Guangdong spotted longbarbel catfish picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Mapple virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Picornaviridae,Unassigned,Peleg virus,Fish,N,Y,N,N,N,,Geoghan_2020_bioRxiv
Picornaviridae,Unassigned,Wenling banjofish picornavirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling banjofish picornavirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling bighead beaked sandfish picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling brown-lined puffer picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling chelidoperca picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling crossorhombus picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling fish picornavirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling hoplichthys picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling jack mackerels picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling lepidotrigla picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling pleuronectiformes picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling rattails picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling scaldfish picornavirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling scaldfish picornavirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling sharpspine skate picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling thamnaconus septentrionalis picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wenling triplecross lizardfish picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Western African lungfish picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wuhan carp picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wuhan sharpbelly picornavirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wuhan sharpbelly picornavirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Wuhan sharpbelly picornavirus 3,Fish,N,Y,N,N,N,,Shi_2018_Nature
Picornaviridae,Unassigned,Yancheng osbecks grenadier anchovy picornavirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Polyomaviridae,Unassigned,Japanese ell endothelial cell virus,Fish,N,Y,N,Y,N,,Mizutani_2010_virology
Polyomaviridae,Unassigned,Marbled eel Polyomavirus,Fish,N,Y,N,Y,N,,Wen_2017_GenAnncoun
Reoviridae,Orthoreovirus,Nanhai ghost shark reovirus,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Orthoreovirus,Piscine orthreovirus,Fish,N,Y,N,Y,Y,,Palacious_2010_PLoS
Reoviridae,Orthoreovirus,Wenling minipizza batfish reovirus 1,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Orthoreovirus,Wenling minipizza batfish reovirus 2,Fish,N,Y,N,N,N,,Shi_2018_Nature
Reoviridae,Orthoreovirus,Wenling minipizza batfish reovirus 3,Fish,N,Y,N,N,N,,Shi_2018_Nature
